entry_index,filename,species_name,species_code,domain_category,threat_level,confidence_tier,recommended_deterrent,source_split,file_size_kb,relative_path,absolute_path
1,WS-WL-WB-00001.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,104.13,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00001.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00001.jpg
2,WS-WL-WB-00002.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,68.26,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00002.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00002.jpg
3,WS-WL-WB-00003.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,46.14,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00003.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00003.jpg
4,WS-WL-WB-00004.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,30.04,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00004.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00004.jpg
5,WS-WL-WB-00005.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,75.2,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00005.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00005.jpg
6,WS-WL-WB-00006.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,41.69,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00006.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00006.jpg
7,WS-WL-WB-00007.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,61.76,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00007.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00007.jpg
8,WS-WL-WB-00008.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,50.55,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00008.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00008.jpg
9,WS-WL-WB-00009.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,88.38,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00009.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00009.jpg
10,WS-WL-WB-00010.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,75.2,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00010.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00010.jpg
11,WS-WL-WB-00011.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,70.09,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00011.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00011.jpg
12,WS-WL-WB-00012.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,61.23,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00012.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00012.jpg
13,WS-WL-WB-00013.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,60.25,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00013.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00013.jpg
14,WS-WL-WB-00014.jpg,Wild Boar,WS-WL-WB,Wildlife,HIGH,Above 95%,Siren + Strobe Floodlight,Raw Repository,78.61,WildShield-Dataset/raw/0_Wild_Boar/WS-WL-WB-00014.jpg,c:\Users\lenovo\OneDrive\Desktop\Wildshield AI digital twin\WildShield-Dataset\raw\0_Wild_Boar\WS-WL-WB-00014.jpg
